12.06.2025                                                                                                   Saída dinâmica de lista                                                                                                           1


		 Val/MoeACC	MdACC	Def.proj.	Material	  Qtd.entr.	Texto breve material	   Valor/MT	Elemento PEP	Data doc.	Usuário	Nº doc.	Itm	 Valor/MObj	Denominação	Entrado em	Nº doc.ref

	*			B-1075494	0211238	         1	TRAFO 3F 112,5KVA 34,5KV 220/127V 3T VG
	*			B-1075494	0536779	         3	ELO FUSIVEL 15,0/36,2 KV 1H COBRE
	*			B-1075494	2401006	         1	CONETOR CUNHA EST BR/VM

	**			B-1075494		         5

	*			B-1136114	0210282	-1	TRAFO 3F   30,0KVA  15,0KV      AVARIADO
	*			B-1136114	0210284	-1	TRAFO 3F   75,0KVA  15,0KV      AVARIADO
	*			B-1136114	0210381	         1	TRAFO 3F 75KVA 13,8KV 380/220V 5T MI
	*			B-1136114	0210448	         1	TRAFO 3F 112,5KVA 13,8KV 380/220V 5T VG
	*			B-1136114	0211148	         1	TRAFO 3F 75KVA 34,5KV 380/220V 3 TAPS
	*			B-1136114	0211172	-3	TRAFO 3F   30,0KVA  38,0KV      AVARIADO
	*			B-1136114	0211186	         1	TRAFO 1FF 25KVA 34,5KV 220V 3T MI
	*			B-1136114	0211235	         1	TRAFO 3F 75KVA 34,5KV 380/220V 3T VG
	*			B-1136114	0211237	         1	TRAFO 3F 112,5kVA 34,5KV 380/220V 3T VG
	*			B-1136114	0211253	         2	TRAFO 3F 30KVA 34,5KV 380/220V 3T VG
	*			B-1136114	0211293	-3	TRAFO 1FF 10KVA 34,5KV AVARIADO
	*			B-1136114	0211295	-1	TRAFO 1FF 25KVA 34,5KV AVARIADO
	*			B-1136114	0211304	         1	TRAFO 1FF 10KVA 34,5KV 220V 3T VG
	*			B-1136114	0211953	-1	TD 3F 75K 34K 380/220 3T VG AVAR-211235
	*			B-1136114	0400057	         3	PARA-RAIOS RD 12KV 10KA
	*			B-1136114	0401010	         5	PARA-RAIOS RD 34,5KV 10KA
	*			B-1136114	0500109	         0	CH SEC 15KV 630A 1P MAN SECO
	*			B-1136114	0530010	         3	CHAVE FUS DIST C   15KV 100A 7,1KA
	*			B-1136114	0534011	         1	CARTUCHO PORTA FUS C 36KV 100A  3,5KA
	*			B-1136114	0536138	        11	ELO FUSIVEL 15,0/36,2KV 2H  PRATA (FP)
	*			B-1136114	0536778	         2	ELO FUSIVEL 15,0/36,2 KV 0,5H COBRE.
	*			B-1136114	0536779	         5	ELO FUSIVEL 15,0/36,2 KV 1H COBRE
	*			B-1136114	0536784	         6	ELO FUSIVEL 15,0/36,2 KV 6K COBRE.
	*			B-1136114	2200001	     1,300	FIO ALUM NU H14/H24 21,15MM2
	*			B-1136114	2200002	     1,000	FIO ALUM NU H14/H24 21,15MM2
	*			B-1136114	2203008	    14,000	CABO COBRE NU C2A MD 35 MM2
