12.06.2025                                                                                                         Saída dinâmica de lista                                                                                                                1


	Projeto	Descrição Projeto	 Reserva	Municipio	Recebedor	Tipo movimento	Material	Descrição Material	Unidade	Qtd Necessária	Qtd Pendente	Centro	Depósito	Registro Final	Qtd atend empreiteira

	B-1136114-SUPR	IEM FEV/24 UTD BARREIRAS (41)	13619257	BARREIRAS	3ST400	922	3340011	CRUZETA FIBRA RETA 90X90 2,4M REFORCADA	CDA	        4,000	      4,000	0610	0693	X	               0,000
	B-1136114-SUPR	IEM FEV/24 UTD BARREIRAS (41)	13619257	BARREIRAS	3ST400	922	3435030	HASTE ANCORA 20X2400MM 8000DAN	CDA	        1,000	      1,000	0610	0693	X	               0,000
	B-1171160-MATR	IEM_Corret_2024_10_70125	14666245	BARREIRAS	3ST400	222	0210844	TD 3F 15K 13,8K 380/220 AVARIADO 210248	CDA	        1,000	      1,000	0610	0693	X	               0,000
	B-1171160-MATR	IEM_Corret_2024_10_70125	14666245	BARREIRAS	3ST400	222	7927010	SUCATA POLIMERICO	KG	        3,000	      3,000	0610	0693	X	               0,000
	B-1189043-SUPR	IEM_CORRET_2025_1_107047	14705508	SANTA MARIA DA VITOR	3ST300	921	3300012	POSTE CONCRETO DT  9/400 29F	CDA	        4,000	      4,000	0610	0691		               0,000
	B-1189043-SUPR	IEM_CORRET_2025_1_107047	14705514	SANTA MARIA DA VITOR	3ST300	221	2230076	CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO.	M	      500,000	    500,000	0610	0691		               0,000
	B-1189043-SUPR	IEM_CORRET_2025_1_107047	14705514	SANTA MARIA DA VITOR	3ST300	221	2300000	ISOLADOR ROLDANA PORC  76,0MM  1350DAN.	CDA	       20,000	     20,000	0610	0691		               0,000
	B-1189043-SUPR	IEM_CORRET_2025_1_107047	14705514	SANTA MARIA DA VITOR	3ST300	221	2401000	CONETOR CUNHA EST CINZA	CDA	       10,000	     10,000	0610	0691		               0,000
	B-1189043-SUPR	IEM_CORRET_2025_1_107047	14705514	SANTA MARIA DA VITOR	3ST300	221	2412001	CONETOR PERF  16,0- 95,0/  4,0- 35,0	CDA	       40,000	     40,000	0610	0691		               0,000
	B-1189043-SUPR	IEM_CORRET_2025_1_107047	14705514	SANTA MARIA DA VITOR	3ST300	221	2412003	CONETOR PERF  10,0- 35,0/  1,5-  6,0	CDA	       20,000	     20,000	0610	0691		               0,000
	B-1189043-SUPR	IEM_CORRET_2025_1_107047	14705514	SANTA MARIA DA VITOR	3ST300	221	3417035	ARMACAO SECUN ACO CARB 2 ESTR 350X 310MM	CDA	       10,000	     10,000	0610	0691		               0,000
	B-1189043-SUPR	IEM_CORRET_2025_1_107047	14705514	SANTA MARIA DA VITOR	3ST300	221	3430546	ALCA PREF RAM LIG 35MM N. ISOL	CDA	        6,000	      6,000	0610	0691		               0,000
	B-1189043-SUPR	IEM_CORRET_2025_1_107047	14705514	SANTA MARIA DA VITOR	3ST300	221	3431760	LACO PREF ROLD 35 MM2 AS NI CAL	CDA	        6,000	      6,000	0610	0691		               0,000
	B-1189043-SUPR	IEM_CORRET_2025_1_107047	14705514	SANTA MARIA DA VITOR	3ST300	221	3480305	PARAFUSO CAB QUAD ACO  16X 200	CDA	       10,000	     10,000	0610	0691		               0,000
